"question,answer"
"""أين أجد أقرب دورة مياه؟"",""بناءً على موقعك، أقرب دورة مياه عند الممر 10، على يمينك بعد 20 مترًا."""
"""وين المقصف؟"",""أقرب مقصف في القطاع 4، توجه يسارًا عند الممر 8."""
"""أين أشتري طعام؟"",""يوجد مقصف على بعد 50 مترًا في القطاع 3، اتبع اللافتات."""
"""كم تبعد البوابة الشرقية؟"",""أخبرني بموقعك (مثل القطاع 5)، وسأحسب المسافة إلى البوابة الشرقية."""
"""أين المدخل الغربي؟"",""المدخل الغربي عند البوابة 6، اتبع الإشارات من القطاع 2."""
"""كيف أحصل على تذكرتي؟"",""اربط تذكرتك بالتطبيق عبر إدخال رمز التذكرة أو مسح الباركود."""
"""ماذا أفعل إذا ضاعت تذكرتي؟"",""اتصل بخدمة العملاء عبر التطبيق أو أدخل رقم الحجز لاستعادتها."""
"""كم سعر التذكرة؟"",""أخبرني بالمباراة أو القطاع، وسأعطيك معلومات عن الأسعار المتاحة."""
"""ما هي القيم الأساسية لمسار؟"",""الأمان عبر إدارة الحشود، الابتكار بالذكاء الاصطناعي، وتعزيز الربحية للأندية."""
"""كيف يساعد التطبيق الأندية؟"",""نقدم تحليلات عن حركة المشجعين لتحسين التنظيم وزيادة الإيرادات."""
"""ما هي أفضل طريقة للدخول؟"",""استخدم البوابة 4 حاليًا، فهي الأقل ازدحامًا بناءً على البيانات."""
"""كيف أعرف موقعي في الملعب؟"",""أدخل رقم تذكرتك وسأعرض موقعك على خريطة الملعب."""
"""هل يمكنني رؤية خريطة الملعب؟"",""نعم، افتح قسم الخرائط في التطبيق لرؤية مخطط الملعب بالكامل."""
"""كم عدد الحضور اليوم؟"",""بناءً على بيانات التذاكر، يوجد حوالي 15,000 مشجع اليوم، سأحدث الرقم إذا تغير."""
"""ما هو أفضل مسار للمقاعد؟"",""أدخل رقم تذكرتك وسأعطيك أفضل مسار بناءً على الازدحام الحالي."""
"""هل هناك فعاليات أخرى اليوم؟"",""أخبرني بالملعب أو التاريخ، وسأعطيك قائمة الفعاليات."""
"""كيف أتواصل مع الدعم؟"",""استخدم خيار """"اتصل بنا"""" في التطبيق للتواصل مع فريق الدعم."""
"""ما هي أقرب بوابة للخروج؟"",""أقرب بوابة لك الآن هي البوابة 8، على بعد 30 مترًا من القطاع 5."""
"""كيف أعرف إذا كان المقعد مشغول؟"",""أدخل رقم تذكرتك، وسأتحقق من حالة المقعد بناءً على بيانات الحضور."""
"""ما هو وقت الذروة؟"",""عادةً بعد نهاية المباراة بـ 10 دقائق، لكن سأراقب الازدحام لإرشادك."""
"""كيف أحجز موقف سيارة؟"",""حاليًا لا يمكن الحجز، لكن سأرشدك إلى أقرب موقف متاح عند الوصول."""
"""أين أجد المصعد؟"",""المصعد الأقرب في القطاع 2، عند الممر 15، على يسارك."""
"""كيف أعرف مواعيد المباريات؟"",""افتح قسم الفعاليات في التطبيق أو أخبرني بالفريق لأعطيك المواعيد."""
"""هل يوجد ازدحام عند المقاصف؟"",""نعم، المقصف في القطاع 3 مزدحم الآن، جرب المقصف في القطاع 6."""
"""ما هو أقرب مخرج للسيارات؟"",""أقرب مخرج لموقف السيارات هو البوابة 9، اتبع الإشارات الخضراء."""
"""كيف أتجنب الازدحام عند الدخول؟"",""استخدم البوابة الجانبية 3، فهي أقل ازدحامًا الآن."""
"""ما هي خدمات مسار؟"",""نوجهك لمقعدك، نحدد موقع سيارتك، ونقدم معلومات عن الملعب والازدحام."""
"""كيف أعرف حالة الازدحام؟"",""أراقب بيانات الكاميرات الذكية وأخبرك بالمناطق المزدحمة فورًا."""
"""أين أجد مكان للجلوس؟"",""إذا كنت تبحث عن مقعدك، أعطني رقم التذكرة وسأرشدك."""
"""كم المسافة إلى المدرجات؟"",""أخبرني بموقعك الحالي وسأحسب المسافة إلى المدرجات."""
"""هل يمكنني تغيير مقعدي؟"",""اتصل بخدمة التذاكر عبر التطبيق للاستفسار عن تغيير المقاعد."""
"""ما هي أفضل البوابات للدخول؟"",""حاليًا البوابات 2 و4 هي الأقل ازدحامًا بناءً على البيانات."""
"""كيف أعرف موقع صديقي؟"",""أدخل رقم تذكرته وسأعرض موقع مقعده على الخريطة."""
"""هل هناك كراسي متحركة متاحة؟"",""نعم، توجه إلى مكتب الخدمات عند البوابة 1 للحصول على كرسي متحرك."""
"""ما هو أقرب موقف للمعاقين؟"",""أقرب موقف مخصص للمعاقين عند البوابة 3، على بعد 10 أمتار."""
"""كيف أعرف عدد المشجعين؟"",""أستخدم بيانات التذاكر لتقدير العدد، حاليًا حوالي 20,000 مشجع."""
"""ما هو أفضل مسار للمقصف؟"",""من موقعك في القطاع 5، توجه يمينًا عند الممر 12 لأقرب مقصف."""
"""كيف أحصل على خريطة الملعب؟"",""افتح قسم الخرائط في التطبيق لرؤية مخطط الملعب التفصيلي."""
"""هل يمكنني طلب مساعدة؟"",""نعم، استخدم خيار المساعدة في التطبيق للتواصل مع فريق الدعم."""
"""ما هي مواعيد الفعاليات؟"",""أخبرني بالتاريخ أو الملعب، وسأعطيك جدول الفعاليات."""
"""كيف أعرف مكان البوابة 5؟"",""البوابة 5 في الجهة الشمالية، اتبع اللافتات من القطاع 4."""
"""هل هناك ازدحام عند المخرج؟"",""سأتحقق... المخرج الرئيسي مزدحم، استخدم المخرج 6 لخروج أسرع."""
"""ما هي أقرب منطقة للطعام؟"",""منطقة الطعام الأقرب في القطاع 2، عند الممر 9."""
"""كيف أعرف موعد نهاية المباراة؟"",""أخبرني بالمباراة، وسأقدر وقت النهاية بناءً على المدة المعتادة."""
"""هل يمكنني رؤية حالة المواقف؟"",""نعم، افتح قسم المواقف في التطبيق لمعرفة المناطق المتاحة."""
"""ما هو أفضل مكان للانتظار؟"",""انتظر عند الممر 14، فهو أقل ازدحامًا ومريح."""
"""كيف أعرف إذا كان هناك تأخير؟"",""سأتحقق من جدول الفعاليات وأخبرك بأي تأخيرات."""
"""أين أجد مكتب التذاكر؟"",""مكتب التذاكر عند البوابة 1، على يمين المدخل الرئيسي."""
"""كيف أتوجه للقطاع 7؟"",""من موقعك، توجه يسارًا عند الممر 10 ثم اتبع الإشارات للقطاع 7."""
"""ما هي أفضل طريقة للوصول للمدرجات؟"",""أدخل رقم تذكرتك وسأرشدك لأقصر مسار للمدرجات."""
"""هل يمكنني معرفة حالة الطقس؟"",""لا أملك بيانات الطقس حاليًا، لكن يمكنني مساعدتك في التنقل داخل الملعب!"""
"""كيف أعرف مكان أصدقائي؟"",""أدخل أرقام تذاكرهم وسأعرض مواقعهم على الخريطة."""
"""ما هو أقرب مدخل للVIP؟"",""مدخل VIP الأقرب عند البوابة 10، على الجهة الشرقية."""
"""كيف أتجنب التأخير عند الدخول؟"",""استخدم البوابة 3، فهي مخصصة للدخول السريع الآن."""
"""ما هي أقرب منطقة للراحة؟"",""منطقة الراحة الأقرب عند الممر 11 في القطاع 4."""
"""كيف أعرف إذا كان المقعد قريب؟"",""أدخل رقم تذكرتك وسأخبرك بمدى قرب المقعد من المدخل."""
"""هل يمكنني طلب طعام؟"",""حاليًا لا يمكن الطلب عبر التطبيق، لكن سأرشدك لأقرب مقصف."""
"""ما هو أفضل مسار للخروج السريع؟"",""البوابة 8 هي الأفضل الآن، اتبع الإشارات الزرقاء."""
"""كيف أعرف مكان الحافلة؟"",""أخبرني بموقعك وسأرشدك إلى أقرب موقف حافلات."""
"""هل هناك مساعدة للمسنين؟"",""نعم، توجه إلى مكتب الخدمات عند البوابة 2 للحصول على المساعدة."""
"""ما هي تكلفة المواقف؟"",""المواقف مجانية مع التذكرة، لكن أرشدك لأقرب مكان متاح."""
"""كيف أعرف موعد الحافلات؟"",""أدخل وجهتك وسأعطيك جدول الحافلات القادمة."""
"""ما هي أقرب بوابة للمترو؟"",""البوابة 9 هي الأقرب لمحطة المترو، على بعد 200 متر."""
"""كيف أتوجه للمقاعد العلوية؟"",""من البوابة 4، اصعد الدرج عند الممر 13 للوصول للمقاعد العلوية."""
"""هل يمكنني تغيير مكان السيارة؟"",""لا يمكن تغيير الموقف عبر التطبيق، لكن سأرشدك لموقف آخر إذا أردت."""
"""ما هو أفضل وقت للدخول؟"",""ادخل قبل المباراة بـ 30 دقيقة لتجنب الازدحام عند البوابات."""
"""كيف أعرف حالة المباراة؟"",""أخبرني بالفريقين وسأعطيك آخر تحديثات المباراة."""
"""ما هي أقرب منطقة للأطفال؟"",""منطقة الأطفال عند القطاع 1، بالقرب من الممر 5."""
"""كيف أحصل على مساعدة فورية؟"",""اضغط على زر المساعدة في التطبيق للتواصل مع فريق الدعم."""
"""هل يوجد ازدحام عند الدرج؟"",""سأتحقق... الدرج في القطاع 3 مزدحم، استخدم المصعد عند الممر 10."""
"""ما هي أفضل طريقة للتنقل؟"",""أدخل وجهتك وسأعطيك أفضل مسار بناءً على الازدحام الحالي."""
"""كيف أعرف مكان البوابة الرئيسية؟"",""البوابة الرئيسية عند المدخل الجنوبي، اتبع الإشارات من القطاع 1."""
"""ما هي أقرب منطقة للتصوير؟"",""منطقة التصوير عند الممر 12 في القطاع 5، مثالية للصور!"""
"""كيف أحصل على تذكرة إضافية؟"",""توجه إلى مكتب التذاكر عند البوابة 1 أو تحقق من المنصة الإلكترونية."""
"""هل يمكنني معرفة عدد المقاعد الفارغة؟"",""سأتحقق من بيانات الحضور وأخبرك بالمقاعد المتاحة في قطاعك."""
"""ما هي أفضل منطقة للمشاهدة؟"",""المقاعد في القطاع 6 توفر رؤية ممتازة، أدخل تذكرتك للوصول إليها."""
"""كيف أعرف إذا كان هناك حدث خاص؟"",""أدخل التاريخ أو الملعب وسأخبرك بالأحداث الخاصة المقررة."""
"""ما هي أقرب بوابة للطوارئ؟"",""بوابة الطوارئ الأقرب عند القطاع 4، الممر 9، اتبع الإشارات الحمراء."""
