Ticket_ID,Match,Date,Time,Stadium,Block,Row,Seat,Gate,Parking_Zone,Ticket_Price,Category
T000064,Al Shabab vs Al Fateh,2023-04-18,22:20,Prince Abdullah Al Faisal Stadium,B13,F,90,3,Zone B,177,VIP
T000065,Al Ahli vs Al Hilal,2023-09-15,15:31,Jeddah Stadium,B68,K,53,4,Zone D,145,Student
T000066,Al Raed vs Abha,2025-09-17,22:39,Al Nassr Club Stadium,B48,D,30,3,Zone C,244,Student
T000067,Al Taawon vs Al Ettifaq,2023-11-12,21:26,Al Nassr Club Stadium,B77,X,78,3,Zone E,882,Student
T000068,Al Wehda vs Damac,2024-05-29,20:22,Prince Abdullah Al Faisal Stadium,B73,V,82,4,Zone B,963,Student
T000069,Al Taawon vs Al Ettifaq,2023-04-13,20:55,Jeddah Stadium,B45,B,8,2,Green,123,Student
T000070,Al Shabab vs Al Fateh,2023-10-09,15:37,King Fahd Stadium,B19,L,9,7,Zone C,698,Family
T000071,Al Wehda vs Damac,2025-10-02,15:51,Al Hilal Stadium,B20,V,58,10,Pink,110,Regular
T000072,Al Ahli vs Al Hilal,2024-11-14,16:23,Al Hilal Stadium,B99,W,14,1,Green,739,Student
T000073,Al Taawon vs Al Ettifaq,2025-05-28,19:49,Al Nassr Club Stadium,B39,I,68,7,Blue,458,Student
T000074,Al Raed vs Abha,2025-06-25,16:54,Al Nassr Club Stadium,B77,H,35,3,Blue,414,Family
T000075,Al Ahli vs Al Hilal,2023-06-23,17:10,Jeddah Stadium,B43,E,89,4,Green,621,Student
T000076,Al Raed vs Abha,2023-06-17,20:11,King Fahd Stadium,B17,I,60,1,Pink,922,Family
T000077,Al Nassr vs Al Ittihad,2023-08-17,15:47,Al Nassr Club Stadium,B83,S,53,9,Zone B,668,Regular
T000078,Al Shabab vs Al Fateh,2023-02-04,19:49,King Fahd Stadium,B98,W,20,9,Blue,350,Student
T000079,Al Ahli vs Al Hilal,2025-03-27,21:49,Jeddah Stadium,B77,I,81,1,Zone A,772,Regular
T000080,Al Wehda vs Damac,2025-01-09,18:35,Jeddah Stadium,B55,F,18,3,Zone E,886,VIP
T000081,Al Shabab vs Al Fateh,2023-09-13,21:47,Al Nassr Club Stadium,B5,R,98,9,Green,957,Student
T000082,Al Raed vs Abha,2025-09-17,20:38,Prince Abdullah Al Faisal Stadium,B44,O,19,5,Blue,825,Family
T000083,Al Shabab vs Al Fateh,2023-09-23,15:11,Al Hilal Stadium,B9,Q,38,1,Green,631,Family
T000084,Al Shabab vs Al Fateh,2023-11-22,19:46,Al Hilal Stadium,B22,Q,45,7,Zone A,403,Student
T000085,Al Raed vs Abha,2024-09-07,20:12,Al Nassr Club Stadium,B47,B,23,3,Blue,825,VIP
T000086,Al Ahli vs Al Hilal,2024-06-01,22:44,Prince Abdullah Al Faisal Stadium,B48,T,45,4,Zone E,343,Regular
T000087,Al Ahli vs Al Hilal,2024-02-15,21:18,Prince Abdullah Al Faisal Stadium,B44,D,30,5,Zone D,73,VIP
T000088,Al Nassr vs Al Ittihad,2023-03-06,22:40,Al Nassr Club Stadium,B49,P,3,9,Blue,56,Student
T000089,Al Ahli vs Al Hilal,2025-04-12,17:42,Prince Abdullah Al Faisal Stadium,B46,D,51,3,Green,789,Regular
T000090,Al Wehda vs Damac,2024-08-01,20:51,Al Hilal Stadium,B68,A,42,1,Zone B,173,Regular
T000091,Al Ahli vs Al Hilal,2025-03-03,22:39,Prince Abdullah Al Faisal Stadium,B74,C,14,4,Green,278,Regular
T000092,Al Ahli vs Al Hilal,2023-01-12,20:01,Jeddah Stadium,B27,Y,19,9,Zone E,956,Family
T000093,Al Shabab vs Al Fateh,2024-08-21,16:50,Al Nassr Club Stadium,B32,H,78,3,Zone E,51,Family
T000094,Al Wehda vs Damac,2024-12-11,20:02,King Fahd Stadium,B33,J,8,10,Pink,462,Family
T000095,Al Taawon vs Al Ettifaq,2024-05-07,22:18,King Fahd Stadium,B59,D,8,2,Green,692,Regular
T000096,Al Taawon vs Al Ettifaq,2025-06-15,21:02,Prince Abdullah Al Faisal Stadium,B81,B,32,5,Zone A,932,VIP
T000097,Al Raed vs Abha,2024-04-09,17:30,King Fahd Stadium,B62,K,69,1,Green,583,Family
T000098,Al Taawon vs Al Ettifaq,2023-07-10,15:55,Prince Abdullah Al Faisal Stadium,B16,M,24,3,Zone E,111,Family
T000099,Al Taawon vs Al Ettifaq,2024-09-07,20:40,Al Nassr Club Stadium,B90,I,83,9,Pink,863,Family
T000100,Al Shabab vs Al Fateh,2024-11-28,20:02,Prince Abdullah Al Faisal Stadium,B43,H,99,8,Zone B,678,Family
T000101,Al Shabab vs Al Fateh,2023-12-24,15:38,Jeddah Stadium,B60,F,6,4,Zone E,871,Regular
T000102,Al Shabab vs Al Fateh,2023-09-22,19:55,King Fahd Stadium,B19,G,16,7,Zone C,476,Regular
T000103,Al Shabab vs Al Fateh,2024-12-21,22:56,Jeddah Stadium,B54,A,31,6,Zone E,369,Student
T000104,Al Raed vs Abha,2023-12-31,22:07,Al Nassr Club Stadium,B92,P,4,5,Blue,228,VIP
T000105,Al Ahli vs Al Hilal,2025-01-29,19:46,King Fahd Stadium,B63,C,7,7,Zone C,266,Student
T000106,Al Taawon vs Al Ettifaq,2024-07-24,18:09,Prince Abdullah Al Faisal Stadium,B6,H,36,7,Zone C,72,Student
T000107,Al Taawon vs Al Ettifaq,2024-04-18,15:32,Prince Abdullah Al Faisal Stadium,B59,N,55,10,Green,361,Regular
T000108,Al Raed vs Abha,2025-09-26,19:33,King Fahd Stadium,B27,C,60,8,Zone C,300,Student
T000109,Al Nassr vs Al Ittihad,2025-06-11,18:09,King Fahd Stadium,B78,V,75,10,Zone E,249,Family
T000110,Al Nassr vs Al Ittihad,2023-01-28,16:51,King Fahd Stadium,B14,R,56,8,Blue,530,Regular
T000111,Al Nassr vs Al Ittihad,2025-06-16,17:03,Al Hilal Stadium,B86,Y,33,2,Zone C,80,Family
T000112,Al Wehda vs Damac,2023-04-18,21:26,Al Hilal Stadium,B53,D,9,4,Zone B,679,VIP
T000113,Al Nassr vs Al Ittihad,2025-06-07,20:22,Jeddah Stadium,B70,U,31,5,Green,343,VIP
T000114,Al Wehda vs Damac,2025-01-14,19:45,Prince Abdullah Al Faisal Stadium,B68,L,45,9,Zone A,215,Student
T000115,Al Ahli vs Al Hilal,2024-03-16,19:37,King Fahd Stadium,B80,O,64,7,Blue,951,VIP
T000116,Al Shabab vs Al Fateh,2023-09-24,16:40,Jeddah Stadium,B67,S,36,6,Green,981,Student
T000117,Al Nassr vs Al Ittihad,2025-01-23,19:55,King Fahd Stadium,B32,I,38,1,Zone A,230,Family
T000118,Al Nassr vs Al Ittihad,2025-05-02,19:24,Prince Abdullah Al Faisal Stadium,B87,X,37,6,Zone E,977,VIP
T000119,Al Shabab vs Al Fateh,2024-08-28,15:02,Al Nassr Club Stadium,B29,B,7,4,Zone E,514,Regular
T000120,Al Ahli vs Al Hilal,2025-02-03,15:11,Jeddah Stadium,B21,A,39,7,Zone B,777,VIP
T000121,Al Raed vs Abha,2025-06-28,17:24,Al Nassr Club Stadium,B46,G,74,9,Zone D,138,VIP
T000122,Al Nassr vs Al Ittihad,2023-03-23,16:43,Jeddah Stadium,B14,E,66,8,Pink,473,Regular
T000123,Al Raed vs Abha,2025-01-24,15:13,Jeddah Stadium,B20,E,68,8,Pink,539,Student
T000124,Al Shabab vs Al Fateh,2025-05-21,21:26,Al Nassr Club Stadium,B64,A,39,1,Blue,79,Student
T000125,Al Raed vs Abha,2025-02-08,18:07,Prince Abdullah Al Faisal Stadium,B22,N,92,5,Pink,767,VIP
T000126,Al Raed vs Abha,2025-10-15,21:41,Al Hilal Stadium,B50,H,25,7,Zone B,84,Student
T000127,Al Nassr vs Al Ittihad,2025-08-03,17:55,Prince Abdullah Al Faisal Stadium,B67,C,91,2,Zone E,600,VIP
T000128,Al Ahli vs Al Hilal,2024-06-08,19:40,Jeddah Stadium,B3,M,11,6,Zone B,208,VIP
T000129,Al Nassr vs Al Ittihad,2024-01-21,21:54,Al Nassr Club Stadium,B7,B,82,8,Zone D,500,Family
T000130,Al Raed vs Abha,2023-04-17,22:57,Al Hilal Stadium,B76,O,95,6,Zone E,791,Regular
T000131,Al Raed vs Abha,2024-07-30,21:52,Jeddah Stadium,B93,A,73,2,Green,736,Regular
T000132,Al Nassr vs Al Ittihad,2024-04-04,18:28,Jeddah Stadium,B73,J,92,3,Zone C,118,Student
T000133,Al Raed vs Abha,2023-12-23,16:52,King Fahd Stadium,B10,X,3,7,Zone D,247,VIP
T000134,Al Taawon vs Al Ettifaq,2025-05-03,21:08,Jeddah Stadium,B54,Z,58,5,Zone B,842,VIP
T000135,Al Nassr vs Al Ittihad,2025-09-11,16:34,Prince Abdullah Al Faisal Stadium,B46,U,25,10,Zone B,925,Regular
T000136,Al Ahli vs Al Hilal,2025-03-06,17:44,Jeddah Stadium,B22,U,92,7,Zone B,172,Family
T000137,Al Shabab vs Al Fateh,2023-04-25,16:27,Jeddah Stadium,B33,J,81,6,Green,417,Family
T000138,Al Ahli vs Al Hilal,2024-05-22,20:52,Prince Abdullah Al Faisal Stadium,B2,Y,33,2,Blue,56,Student
T000139,Al Nassr vs Al Ittihad,2023-07-22,22:01,Al Hilal Stadium,B44,E,68,3,Zone B,529,Student
T000140,Al Raed vs Abha,2024-01-26,15:09,Prince Abdullah Al Faisal Stadium,B94,T,74,10,Zone D,626,Family
T000141,Al Raed vs Abha,2024-11-10,22:41,Al Hilal Stadium,B32,B,82,9,Pink,263,Regular
T000142,Al Nassr vs Al Ittihad,2025-12-13,17:53,Al Hilal Stadium,B56,T,13,5,Zone B,549,Regular
T000143,Al Wehda vs Damac,2025-08-31,17:56,Al Hilal Stadium,B47,J,69,3,Pink,210,Family
T000144,Al Raed vs Abha,2023-12-01,21:22,Prince Abdullah Al Faisal Stadium,B62,H,90,5,Zone B,247,Regular
T000145,Al Taawon vs Al Ettifaq,2023-10-09,22:57,King Fahd Stadium,B68,M,63,5,Blue,602,Student
T000146,Al Nassr vs Al Ittihad,2023-10-18,19:41,Jeddah Stadium,B54,D,3,9,Blue,708,Regular
T000147,Al Nassr vs Al Ittihad,2025-07-04,15:36,Al Nassr Club Stadium,B3,N,85,3,Green,984,Student
T000148,Al Wehda vs Damac,2023-09-28,19:46,Prince Abdullah Al Faisal Stadium,B70,E,23,1,Zone D,175,Regular
T000149,Al Wehda vs Damac,2024-05-02,22:03,Al Hilal Stadium,B77,Y,23,1,Pink,804,Family
T000150,Al Nassr vs Al Ittihad,2025-12-18,15:57,King Fahd Stadium,B31,G,67,5,Blue,608,Regular
T000151,Al Taawon vs Al Ettifaq,2024-12-07,22:11,Prince Abdullah Al Faisal Stadium,B19,M,64,3,Zone B,903,Family
T000152,Al Ahli vs Al Hilal,2024-03-19,20:25,Al Nassr Club Stadium,B41,Z,32,1,Zone D,701,Student
T000153,Al Ahli vs Al Hilal,2025-09-19,20:42,Al Nassr Club Stadium,B94,H,61,7,Zone C,636,Regular
T000154,Al Taawon vs Al Ettifaq,2023-08-29,15:54,King Fahd Stadium,B35,Y,67,3,Zone C,154,Student
T000155,Al Nassr vs Al Ittihad,2023-12-30,16:52,King Fahd Stadium,B65,B,10,3,Zone D,378,Student
T000156,Al Shabab vs Al Fateh,2023-11-02,21:19,Al Nassr Club Stadium,B11,D,63,5,Zone D,350,Family
T000157,Al Taawon vs Al Ettifaq,2025-07-06,16:55,Al Nassr Club Stadium,B92,J,51,5,Zone C,226,VIP
T000158,Al Nassr vs Al Ittihad,2023-04-20,22:44,Prince Abdullah Al Faisal Stadium,B58,Q,72,2,Zone A,465,Student
T000159,Al Taawon vs Al Ettifaq,2023-06-25,22:46,Al Hilal Stadium,B49,T,51,6,Zone B,814,Regular
T000160,Al Shabab vs Al Fateh,2023-08-18,20:56,Al Hilal Stadium,B34,Y,2,9,Green,639,Regular
T000161,Al Raed vs Abha,2024-04-24,16:44,King Fahd Stadium,B77,U,60,3,Zone D,267,Student
T000162,Al Shabab vs Al Fateh,2025-10-25,15:07,King Fahd Stadium,B1,V,86,10,Green,862,Regular
T000163,Al Raed vs Abha,2023-06-19,21:10,Prince Abdullah Al Faisal Stadium,B88,V,29,9,Zone B,693,VIP
T000164,Al Nassr vs Al Ittihad,2025-04-12,18:09,Al Nassr Club Stadium,B26,C,32,2,Zone C,823,Regular
T000165,Al Ahli vs Al Hilal,2025-09-21,18:30,Jeddah Stadium,B89,K,37,2,Zone B,537,Student
T000166,Al Taawon vs Al Ettifaq,2023-04-13,21:14,King Fahd Stadium,B68,M,46,10,Pink,925,Student
T000167,Al Nassr vs Al Ittihad,2024-06-13,20:07,Al Nassr Club Stadium,B45,L,97,3,Pink,662,Regular
T000168,Al Shabab vs Al Fateh,2023-03-18,20:27,Al Nassr Club Stadium,B42,M,76,2,Blue,828,Student
T000169,Al Wehda vs Damac,2025-03-13,18:18,Jeddah Stadium,B26,T,90,9,Pink,709,Student
T000170,Al Wehda vs Damac,2025-01-01,22:35,Al Nassr Club Stadium,B18,C,65,1,Zone D,895,Regular
T000171,Al Ahli vs Al Hilal,2024-07-24,18:52,Al Hilal Stadium,B93,V,38,7,Green,913,VIP
T000172,Al Nassr vs Al Ittihad,2024-09-15,20:01,Prince Abdullah Al Faisal Stadium,B11,J,84,5,Zone D,254,Student
T000173,Al Raed vs Abha,2025-01-15,20:53,Al Hilal Stadium,B25,H,100,8,Zone B,406,Student
T000174,Al Taawon vs Al Ettifaq,2024-05-29,15:37,Al Hilal Stadium,B38,S,15,8,Zone C,524,Student
T000175,Al Wehda vs Damac,2025-05-08,17:03,Prince Abdullah Al Faisal Stadium,B52,S,47,7,Pink,385,VIP
T000176,Al Shabab vs Al Fateh,2023-08-16,20:40,Al Hilal Stadium,B41,F,88,6,Zone D,411,Student
T000177,Al Wehda vs Damac,2025-10-05,19:01,Prince Abdullah Al Faisal Stadium,B69,J,64,8,Green,765,Family
T000178,Al Taawon vs Al Ettifaq,2025-06-23,18:53,King Fahd Stadium,B95,J,21,8,Zone E,616,Regular
T000179,Al Ahli vs Al Hilal,2024-08-09,17:12,Al Hilal Stadium,B19,E,81,2,Zone B,153,Regular
T000180,Al Raed vs Abha,2024-01-01,19:08,Al Nassr Club Stadium,B14,C,61,9,Blue,125,Student
T000181,Al Taawon vs Al Ettifaq,2025-06-24,21:07,Jeddah Stadium,B83,K,57,10,Pink,949,Regular
T000182,Al Ahli vs Al Hilal,2024-01-06,22:38,King Fahd Stadium,B45,Q,15,8,Pink,248,VIP
T000183,Al Wehda vs Damac,2024-03-12,18:49,Al Hilal Stadium,B78,G,16,3,Zone C,775,VIP
T000184,Al Shabab vs Al Fateh,2024-06-29,19:30,Al Hilal Stadium,B4,C,67,10,Zone B,104,Student
T000185,Al Taawon vs Al Ettifaq,2024-12-28,19:56,Al Hilal Stadium,B33,V,84,4,Green,695,Regular
T000186,Al Nassr vs Al Ittihad,2024-04-15,17:45,Al Nassr Club Stadium,B20,P,36,1,Green,353,Family
T000187,Al Shabab vs Al Fateh,2024-06-30,15:56,Al Nassr Club Stadium,B95,Y,71,7,Pink,632,Family
T000188,Al Shabab vs Al Fateh,2025-02-18,20:37,Jeddah Stadium,B33,Y,54,2,Zone C,858,Student
T000189,Al Raed vs Abha,2025-10-29,18:48,Al Nassr Club Stadium,B99,L,37,5,Blue,694,VIP
T000190,Al Shabab vs Al Fateh,2024-09-21,22:35,Prince Abdullah Al Faisal Stadium,B16,B,72,2,Zone C,145,Student
T000191,Al Wehda vs Damac,2023-02-18,17:09,Al Hilal Stadium,B73,O,25,10,Pink,149,Regular
T000192,Al Ahli vs Al Hilal,2023-06-05,17:02,Prince Abdullah Al Faisal Stadium,B81,C,71,7,Pink,739,Student
T000193,Al Wehda vs Damac,2024-04-11,17:26,Al Nassr Club Stadium,B83,O,50,3,Pink,700,VIP
T000194,Al Wehda vs Damac,2025-04-11,19:58,King Fahd Stadium,B98,N,87,9,Blue,822,VIP
T000195,Al Wehda vs Damac,2025-11-10,20:45,Prince Abdullah Al Faisal Stadium,B70,E,10,9,Blue,702,Student
T000196,Al Ahli vs Al Hilal,2023-07-15,19:22,Al Nassr Club Stadium,B15,H,44,3,Zone A,736,Student
T000197,Al Nassr vs Al Ittihad,2023-01-08,20:14,Jeddah Stadium,B19,L,42,1,Zone E,724,Family
T000198,Al Shabab vs Al Fateh,2025-12-08,15:14,Jeddah Stadium,B26,R,46,5,Zone E,335,VIP
T000199,Al Raed vs Abha,2024-08-23,20:32,Al Nassr Club Stadium,B97,N,46,3,Green,247,VIP
T000200,Al Wehda vs Damac,2023-06-04,17:17,Prince Abdullah Al Faisal Stadium,B24,Q,49,2,Zone E,702,VIP
T000201,Al Taawon vs Al Ettifaq,2023-10-03,15:30,Al Hilal Stadium,B85,G,33,2,Zone D,792,Student
T000202,Al Raed vs Abha,2024-09-19,15:20,King Fahd Stadium,B99,H,24,7,Zone B,414,Regular
T000203,Al Ahli vs Al Hilal,2025-09-28,18:45,Jeddah Stadium,B39,M,81,2,Pink,252,Student
T000204,Al Nassr vs Al Ittihad,2023-03-10,15:27,Al Nassr Club Stadium,B3,W,21,2,Blue,835,Regular
T000205,Al Shabab vs Al Fateh,2025-02-17,19:03,Al Hilal Stadium,B26,Y,86,8,Zone E,53,Regular
T000206,Al Nassr vs Al Ittihad,2024-09-19,15:26,Prince Abdullah Al Faisal Stadium,B86,C,40,4,Zone A,668,Family
T000207,Al Taawon vs Al Ettifaq,2023-10-31,15:49,Prince Abdullah Al Faisal Stadium,B90,G,17,9,Zone C,691,Regular
T000208,Al Shabab vs Al Fateh,2024-08-13,15:13,Jeddah Stadium,B66,H,2,10,Green,740,Student
T000209,Al Nassr vs Al Ittihad,2024-06-23,22:17,Al Nassr Club Stadium,B36,V,18,2,Zone C,842,Family
T000210,Al Shabab vs Al Fateh,2025-06-07,21:29,Prince Abdullah Al Faisal Stadium,B96,I,72,5,Zone B,90,VIP
T000211,Al Taawon vs Al Ettifaq,2024-03-07,18:23,Jeddah Stadium,B53,S,17,9,Zone D,274,Student
T000212,Al Nassr vs Al Ittihad,2024-05-22,19:11,Al Nassr Club Stadium,B12,Q,62,2,Zone D,938,VIP
T000213,Al Wehda vs Damac,2024-02-15,19:10,Jeddah Stadium,B55,Z,24,2,Green,119,Student
T000214,Al Wehda vs Damac,2025-11-25,20:40,Jeddah Stadium,B48,E,42,4,Green,329,Student
T000215,Al Taawon vs Al Ettifaq,2023-04-06,16:20,Al Nassr Club Stadium,B25,T,72,3,Zone C,502,Student
T000216,Al Taawon vs Al Ettifaq,2024-11-06,16:35,King Fahd Stadium,B59,U,89,5,Zone A,980,Family
T000217,Al Wehda vs Damac,2023-11-03,21:55,Prince Abdullah Al Faisal Stadium,B40,E,15,6,Zone A,197,Student
T000218,Al Raed vs Abha,2023-08-23,20:00,King Fahd Stadium,B19,X,31,5,Zone D,796,Family
T000219,Al Ahli vs Al Hilal,2023-05-20,16:14,Al Hilal Stadium,B18,F,89,7,Zone D,306,Student
T000220,Al Nassr vs Al Ittihad,2024-09-28,20:11,King Fahd Stadium,B71,D,95,1,Zone B,682,Student
T000221,Al Shabab vs Al Fateh,2024-12-16,18:07,Al Nassr Club Stadium,B2,U,67,3,Zone B,694,Family
T000222,Al Taawon vs Al Ettifaq,2024-08-20,20:58,Al Hilal Stadium,B79,Y,16,6,Green,198,Student
T000223,Al Nassr vs Al Ittihad,2025-05-26,17:53,King Fahd Stadium,B63,Z,78,6,Green,957,Family
T000224,Al Nassr vs Al Ittihad,2023-03-09,15:59,Prince Abdullah Al Faisal Stadium,B66,R,81,5,Zone E,510,Regular
T000225,Al Raed vs Abha,2024-02-24,15:36,Prince Abdullah Al Faisal Stadium,B89,T,6,5,Zone D,216,Regular
T000226,Al Wehda vs Damac,2024-06-15,17:28,Al Nassr Club Stadium,B88,G,95,7,Zone D,605,VIP
